Time(sec)	Temp(C)	DTA(uV)	TGA(mg)
150.000000	46.760700	-0.809000	2.148899
151.000000	46.777397	-0.808000	2.146599
152.000000	47.078697	-0.808000	2.142597
153.000000	47.266499	-0.806000	2.139599
154.000000	47.280499	-0.805000	2.138000
155.000000	47.590401	-0.804000	2.134598
156.000000	47.694698	-0.803000	2.130798
157.000000	47.884499	-0.802000	2.127300
158.000000	48.135899	-0.801000	2.125099
159.000000	48.133598	-0.798000	2.122299
160.000000	48.392399	-0.796000	2.117699
161.000000	48.689301	-0.791000	2.114998
162.000000	48.639999	-0.787000	2.113899
163.000000	48.878300	-0.783000	2.113598
164.000000	49.105801	-0.778000	2.113098
165.000000	49.184299	-0.775000	2.113400
166.000000	49.504398	-0.772000	2.115097
167.000000	49.495899	-0.771000	2.117500
168.000000	49.701599	-0.771000	2.120998
169.000000	50.033298	-0.771000	2.125198
170.000000	50.059200	-0.772000	2.128799
171.000000	50.266399	-0.773000	2.131397
172.000000	50.465397	-0.774000	2.132099
173.000000	50.530697	-0.776000	2.132698
174.000000	50.819298	-0.777000	2.132000
175.000000	50.908497	-0.779000	2.129799
176.000000	51.010201	-0.779000	2.129398
177.000000	51.339798	-0.780000	2.129601
178.000000	51.391197	-0.780000	2.131397
179.000000	51.585300	-0.779000	2.133400
180.000000	51.821301	-0.777000	2.134197
181.000000	51.844997	-0.774000	2.134998
182.000000	52.100800	-0.773000	2.133900
183.000000	52.358799	-0.771000	2.133198
184.000000	52.298599	-0.769000	2.132999
185.000000	52.618099	-0.768000	2.133400
186.000000	52.729397	-0.766000	2.133801
187.000000	52.887398	-0.765000	2.132797
188.000000	53.178497	-0.763000	2.132599
189.000000	53.157097	-0.761000	2.132599
190.000000	53.395699	-0.759000	2.132599
191.000000	53.694901	-0.755000	2.132599
192.000000	53.705399	-0.752000	2.132599
193.000000	53.928299	-0.748000	2.134998
194.000000	54.108498	-0.744000	2.137699
195.000000	54.212799	-0.740000	2.139599
196.000000	54.515499	-0.735000	2.139599
197.000000	54.546097	-0.731000	2.138500
198.000000	54.692101	-0.726000	2.138100
199.000000	55.032398	-0.721000	2.137600
200.000000	55.066700	-0.717000	2.137100
201.000000	55.236099	-0.711000	2.137699
202.000000	55.484398	-0.707000	2.139297
203.000000	55.509399	-0.702000	2.142998
204.000000	55.834198	-0.697000	2.146099
205.000000	55.997597	-0.693000	2.147499
206.000000	56.032700	-0.689000	2.147800
207.000000	56.368500	-0.687000	2.147499
208.000000	56.424900	-0.684000	2.148098
209.000000	56.620300	-0.683000	2.147198
210.000000	56.876598	-0.681000	2.144798
211.000000	56.857998	-0.679000	2.141701
212.000000	57.166298	-0.677000	2.137897
213.000000	57.386200	-0.675000	2.134998
214.000000	57.366699	-0.672000	2.131599
215.000000	57.672398	-0.668000	2.128700
216.000000	57.808899	-0.663000	2.127300
217.000000	57.947399	-0.659000	2.127098
218.000000	58.245800	-0.653000	2.131100
219.000000	58.225597	-0.647000	2.135998
220.000000	58.471199	-0.641000	2.139999
221.000000	58.766998	-0.634000	2.143600
222.000000	58.761799	-0.629000	2.147499
223.000000	58.997597	-0.624000	2.150799
224.000000	59.192299	-0.620000	2.152397
225.000000	59.257900	-0.618000	2.152599
226.000000	59.577297	-0.617000	2.152699
227.000000	59.644398	-0.617000	2.153000
228.000000	59.789799	-0.618000	2.153099
229.000000	60.123600	-0.620000	2.150997
230.000000	60.135098	-0.623000	2.148899
231.000000	60.360397	-0.626000	2.148300
232.000000	60.559299	-0.629000	2.146900
233.000000	60.562798	-0.631000	2.144897
234.000000	60.889000	-0.633000	2.142899
235.000000	61.024998	-0.634000	2.143299
236.000000	61.097099	-0.634000	2.146500
237.000000	61.367897	-0.635000	2.148399
238.000000	61.472000	-0.635000	2.150398
239.000000	61.675098	-0.636000	2.153698
240.000000	61.900898	-0.638000	2.157497
241.000000	61.887699	-0.640000	2.160797
242.000000	62.148499	-0.643000	2.162098
243.000000	62.431797	-0.647000	2.162399
244.000000	62.403999	-0.652000	2.162998
245.000000	62.655800	-0.657000	2.163700
246.000000	62.823399	-0.661000	2.163898
247.000000	62.936298	-0.666000	2.163200
248.000000	63.233700	-0.669000	2.162197
249.000000	63.235897	-0.673000	2.160400
250.000000	63.467899	-0.677000	2.158798
251.000000	63.751598	-0.681000	2.157101
252.000000	63.769497	-0.684000	2.155499
253.000000	63.980400	-0.687000	2.154800
254.000000	64.175697	-0.689000	2.154198
255.000000	64.237495	-0.691000	2.154598
256.000000	64.532997	-0.692000	2.155800
257.000000	64.625496	-0.691000	2.157398
258.000000	64.735695	-0.688000	2.159698
259.000000	65.049698	-0.685000	2.161499
260.000000	65.111099	-0.682000	2.162300
261.000000	65.314301	-0.678000	2.163399
262.000000	65.531898	-0.675000	2.165298
263.000000	65.546898	-0.672000	2.167297
264.000000	65.831200	-0.670000	2.168900
265.000000	66.056595	-0.669000	2.171200
266.000000	66.040298	-0.669000	2.173397
267.000000	66.337601	-0.672000	2.175400
268.000000	66.455902	-0.674000	2.176701
269.000000	66.611000	-0.678000	2.177799
270.000000	66.879395	-0.682000	2.179897
271.000000	66.857201	-0.688000	2.181797
272.000000	67.124802	-0.696000	2.183098
273.000000	67.414696	-0.702000	2.185299
274.000000	67.400902	-0.708000	2.187698
275.000000	67.638901	-0.713000	2.190197
276.000000	67.806099	-0.716000	2.190498
277.000000	67.905701	-0.718000	2.187901
278.000000	68.217995	-0.717000	2.185299
279.000000	68.244698	-0.715000	2.183498
280.000000	68.419197	-0.712000	2.181900
281.000000	68.731598	-0.708000	2.178398
282.000000	68.773102	-0.703000	2.174797
283.000000	68.950897	-0.698000	2.174000
284.000000	69.208496	-0.694000	2.174599
285.000000	69.229195	-0.691000	2.175098
286.000000	69.542496	-0.688000	2.174297
287.000000	69.688995	-0.687000	2.175800
288.000000	69.712898	-0.687000	2.178799
289.000000	70.047401	-0.688000	2.180199
290.000000	70.095497	-0.689000	2.181000
291.000000	70.310898	-0.692000	2.181198
292.000000	70.539902	-0.695000	2.182198
293.000000	70.534096	-0.698000	2.183498
294.000000	70.819695	-0.702000	2.184399
295.000000	71.062599	-0.705000	2.186199
296.000000	71.036400	-0.710000	2.188797
297.000000	71.336098	-0.714000	2.191200
298.000000	71.476601	-0.717000	2.193100
299.000000	71.602295	-0.721000	2.193398
300.000000	71.883400	-0.725000	2.192898
301.000000	71.865097	-0.729000	2.192101
302.000000	72.106201	-0.734000	2.191399
303.000000	72.393097	-0.739000	2.190498
304.000000	72.399200	-0.746000	2.188900
305.000000	72.602402	-0.752000	2.188900
306.000000	72.814301	-0.759000	2.189800
307.000000	72.879700	-0.766000	2.191299
308.000000	73.232895	-0.772000	2.193199
309.000000	73.278099	-0.779000	2.194599
310.000000	73.379196	-0.783000	2.197399
311.000000	73.727501	-0.785000	2.200298
312.000000	73.758598	-0.787000	2.201500
313.000000	73.953499	-0.786000	2.202400
314.000000	74.168297	-0.784000	2.202599
315.000000	74.208199	-0.780000	2.202999
316.000000	74.481499	-0.777000	2.202400
317.000000	74.670296	-0.773000	2.201500
318.000000	74.670700	-0.769000	2.201500
319.000000	74.995499	-0.766000	2.202801
320.000000	75.122398	-0.763000	2.204597
321.000000	75.278198	-0.762000	2.204800
322.000000	75.514595	-0.761000	2.203499
323.000000	75.524200	-0.762000	2.202400
324.000000	75.767296	-0.764000	2.200798
325.000000	76.052795	-0.768000	2.199699
326.000000	76.021194	-0.773000	2.197800
327.000000	76.282394	-0.779000	2.197201
328.000000	76.473999	-0.786000	2.199398
329.000000	76.559700	-0.792000	2.201797
330.000000	76.846397	-0.798000	2.204399
331.000000	76.897697	-0.803000	2.207001
332.000000	77.082802	-0.806000	2.209400
333.000000	77.391098	-0.808000	2.209400
334.000000	77.395302	-0.810000	2.206299
335.000000	77.583496	-0.811000	2.203999
336.000000	77.822998	-0.810000	2.201401
337.000000	77.884300	-0.810000	2.198700
338.000000	78.173698	-0.809000	2.195999
339.000000	78.307396	-0.808000	2.194401
340.000000	78.376900	-0.806000	2.195198
341.000000	78.689796	-0.805000	2.195198
342.000000	78.782501	-0.805000	2.195000
343.000000	78.933395	-0.805000	2.195900
344.000000	79.195198	-0.807000	2.196301
