Time(sec)	Temp(C)	DTA(uV)	TGA(mg)
0.000000	28.358500	-0.534000	1.640202
1.000000	28.510300	-0.530000	1.642300
2.000000	28.521200	-0.527000	1.645802
3.000000	28.388899	-0.523000	1.652000
4.000000	28.593300	-0.518000	1.658699
5.000000	28.551800	-0.513000	1.666401
6.000000	28.505899	-0.508000	1.672802
7.000000	28.651999	-0.504000	1.677101
8.000000	28.537399	-0.501000	1.680302
9.000000	28.626200	-0.498000	1.682102
10.000000	28.788700	-0.497000	1.685402
11.000000	28.542000	-0.497000	1.690399
12.000000	28.740099	-0.497000	1.694099
13.000000	28.783600	-0.500000	1.696899
14.000000	28.736599	-0.503000	1.696800
15.000000	28.860100	-0.508000	1.693802
16.000000	28.753399	-0.513000	1.687202
17.000000	28.860498	-0.519000	1.676399
18.000000	29.045300	-0.526000	1.664902
19.000000	28.880600	-0.534000	1.653603
20.000000	28.978600	-0.542000	1.644302
21.000000	29.130499	-0.550000	1.638702
22.000000	29.067299	-0.559000	1.637100
23.000000	29.261499	-0.567000	1.639801
24.000000	29.247099	-0.577000	1.647400
25.000000	29.251499	-0.585000	1.660400
26.000000	29.485800	-0.594000	1.675800
27.000000	29.449598	-0.603000	1.690102
28.000000	29.455399	-0.611000	1.700100
29.000000	29.689199	-0.620000	1.702801
30.000000	29.564798	-0.629000	1.699402
31.000000	29.804899	-0.637000	1.691101
32.000000	29.882000	-0.646000	1.681999
33.000000	29.791800	-0.655000	1.675800
34.000000	30.075399	-0.664000	1.674400
35.000000	30.106699	-0.673000	1.679199
36.000000	30.147400	-0.681000	1.686001
37.000000	30.330099	-0.689000	1.692001
38.000000	30.280300	-0.695000	1.694801
39.000000	30.461500	-0.701000	1.692200
40.000000	30.677799	-0.706000	1.686199
41.000000	30.525400	-0.710000	1.678501
42.000000	30.732399	-0.712000	1.670799
43.000000	30.903000	-0.714000	1.663601
44.000000	30.911699	-0.717000	1.656601
45.000000	31.129900	-0.719000	1.653099
46.000000	31.134699	-0.721000	1.653801
47.000000	31.245399	-0.724000	1.655399
48.000000	31.518999	-0.726000	1.656601
49.000000	31.431200	-0.729000	1.658001
50.000000	31.569500	-0.731000	1.660202
51.000000	31.825800	-0.734000	1.661400
52.000000	31.729599	-0.737000	1.660500
53.000000	32.026299	-0.739000	1.659000
54.000000	32.068398	-0.741000	1.658600
55.000000	32.069798	-0.743000	1.662399
56.000000	32.377499	-0.746000	1.669201
57.000000	32.408699	-0.749000	1.679001
58.000000	32.498299	-0.751000	1.690601
59.000000	32.746300	-0.753000	1.702103
60.000000	32.734501	-0.754000	1.712200
61.000000	32.964500	-0.755000	1.718002
62.000000	33.133801	-0.756000	1.719700
63.000000	33.050697	-0.756000	1.717701
64.000000	33.337799	-0.756000	1.712402
65.000000	33.483700	-0.755000	1.707600
66.000000	33.541901	-0.755000	1.705101
67.000000	33.747898	-0.755000	1.704002
68.000000	33.794399	-0.755000	1.703102
69.000000	33.974499	-0.755000	1.703503
70.000000	34.287598	-0.754000	1.706501
71.000000	34.148098	-0.753000	1.708900
72.000000	34.398998	-0.751000	1.708099
73.000000	34.605698	-0.750000	1.704300
74.000000	34.587498	-0.749000	1.698799
75.000000	34.877701	-0.747000	1.692402
76.000000	34.904301	-0.745000	1.684002
77.000000	35.043900	-0.744000	1.676300
78.000000	35.337299	-0.741000	1.669903
79.000000	35.337200	-0.739000	1.663799
80.000000	35.501499	-0.737000	1.659801
81.000000	35.752499	-0.734000	1.659203
82.000000	35.743401	-0.731000	1.662899
83.000000	36.026897	-0.727000	1.669399
84.000000	36.152000	-0.724000	1.677299
85.000000	36.127598	-0.720000	1.688202
86.000000	36.464500	-0.717000	1.701702
87.000000	36.562901	-0.715000	1.717701
88.000000	36.645500	-0.713000	1.732800
89.000000	36.877197	-0.711000	1.743801
90.000000	36.914299	-0.710000	1.750301
91.000000	37.166298	-0.708000	1.752602
92.000000	37.439098	-0.706000	1.753201
93.000000	37.328899	-0.704000	1.751102
94.000000	37.630898	-0.701000	1.744499
95.000000	37.815300	-0.697000	1.736702
96.000000	37.884499	-0.694000	1.728703
97.000000	38.114098	-0.690000	1.721703
98.000000	38.166500	-0.686000	1.713200
99.000000	38.350800	-0.682000	1.702301
100.000000	38.677898	-0.678000	1.690701
101.000000	38.603298	-0.673000	1.679001
102.000000	38.810898	-0.669000	1.669800
103.000000	39.113998	-0.665000	1.663403
104.000000	39.122299	-0.661000	1.658600
105.000000	39.376499	-0.658000	1.655502
106.000000	39.497200	-0.655000	1.652702
107.000000	39.568100	-0.652000	1.651001
108.000000	39.901798	-0.650000	1.649200
109.000000	39.943501	-0.648000	1.644901
110.000000	40.050697	-0.645000	1.638802
111.000000	40.358299	-0.643000	1.631702
112.000000	40.362900	-0.641000	1.625202
113.000000	40.620499	-0.639000	1.619102
114.000000	40.818298	-0.638000	1.613300
115.000000	40.785900	-0.636000	1.608902
116.000000	41.128998	-0.635000	1.607101
117.000000	41.279400	-0.633000	1.608902
118.000000	41.352398	-0.633000	1.611900
119.000000	41.583599	-0.633000	1.614902
120.000000	41.657101	-0.632000	1.618401
121.000000	41.838100	-0.632000	1.623001
122.000000	42.121799	-0.632000	1.628902
123.000000	42.067299	-0.632000	1.632301
124.000000	42.336998	-0.632000	1.633701
125.000000	42.594700	-0.631000	1.634899
126.000000	42.623100	-0.630000	1.638000
127.000000	42.877399	-0.629000	1.642502
128.000000	42.976398	-0.629000	1.645500
129.000000	43.102299	-0.627000	1.646301
130.000000	43.449799	-0.626000	1.645302
131.000000	43.407898	-0.624000	1.641899
132.000000	43.574497	-0.622000	1.636200
133.000000	43.919498	-0.620000	1.626602
134.000000	43.911800	-0.617000	1.614403
135.000000	44.167099	-0.613000	1.601601
136.000000	44.325699	-0.610000	1.589100
137.000000	44.372700	-0.606000	1.578899
138.000000	44.710598	-0.603000	1.570000
139.000000	44.813000	-0.599000	1.563103
140.000000	44.902500	-0.596000	1.557800
141.000000	45.188999	-0.593000	1.553402
142.000000	45.235199	-0.590000	1.550602
143.000000	45.466698	-0.587000	1.548302
144.000000	45.693100	-0.585000	1.547001
145.000000	45.639500	-0.583000	1.546200
146.000000	45.947598	-0.581000	1.545502
147.000000	46.188099	-0.580000	1.546402
148.000000	46.211498	-0.579000	1.549400
149.000000	46.507999	-0.579000	1.556801
150.000000	46.588100	-0.579000	1.568100
151.000000	46.748898	-0.580000	1.581303
152.000000	47.071999	-0.580000	1.595200
153.000000	47.027599	-0.580000	1.607700
154.000000	47.263798	-0.580000	1.619499
155.000000	47.550098	-0.579000	1.630901
156.000000	47.565197	-0.578000	1.640800
157.000000	47.812099	-0.577000	1.650600
158.000000	47.953697	-0.577000	1.660603
159.000000	48.051701	-0.576000	1.672001
160.000000	48.387600	-0.575000	1.683102
161.000000	48.458500	-0.574000	1.689701
162.000000	48.577599	-0.573000	1.691700
163.000000	48.905697	-0.571000	1.688103
164.000000	48.920300	-0.570000	1.680202
165.000000	49.169300	-0.569000	1.669003
166.000000	49.367001	-0.568000	1.655800
167.000000	49.385300	-0.566000	1.643402
168.000000	49.691097	-0.565000	1.631702
169.000000	49.892200	-0.564000	1.622601
170.000000	49.889500	-0.563000	1.616100
171.000000	50.213299	-0.562000	1.611801
172.000000	50.310799	-0.561000	1.609901
173.000000	50.509197	-0.560000	1.609001
174.000000	50.755398	-0.559000	1.609402
175.000000	50.725300	-0.559000	1.610600
176.000000	51.000698	-0.559000	1.611801
177.000000	51.286297	-0.558000	1.613602
178.000000	51.259197	-0.558000	1.614799
179.000000	51.486599	-0.556000	1.616302
180.000000	51.660500	-0.555000	1.617302
181.000000	51.769398	-0.553000	1.617203
182.000000	52.073299	-0.551000	1.616699
183.000000	52.101597	-0.549000	1.615700
184.000000	52.282700	-0.547000	1.616901
185.000000	52.615498	-0.545000	1.619602
186.000000	52.632900	-0.545000	1.622299
187.000000	52.820198	-0.544000	1.624599
188.000000	53.048397	-0.544000	1.627201
189.000000	53.083397	-0.545000	1.632801
190.000000	53.404198	-0.545000	1.639099
191.000000	53.524799	-0.546000	1.643402
192.000000	53.560398	-0.546000	1.648502
193.000000	53.909298	-0.547000	1.656700
194.000000	53.972599	-0.546000	1.669300
195.000000	54.180099	-0.545000	1.681702
196.000000	54.406097	-0.544000	1.691601
197.000000	54.409897	-0.541000	1.701702
198.000000	54.704098	-0.538000	1.710503
199.000000	54.961197	-0.535000	1.716000
200.000000	54.917400	-0.531000	1.715500
201.000000	55.186298	-0.528000	1.709000
202.000000	55.364399	-0.523000	1.699600
203.000000	55.474598	-0.519000	1.686901
204.000000	55.739700	-0.515000	1.673599
205.000000	55.778698	-0.512000	1.661701
206.000000	55.985897	-0.509000	1.654900
207.000000	56.322197	-0.506000	1.655399
208.000000	56.312397	-0.504000	1.662502
209.000000	56.521599	-0.503000	1.672901
210.000000	56.788097	-0.502000	1.683800
211.000000	56.798298	-0.502000	1.692200
212.000000	57.125198	-0.501000	1.695499
213.000000	57.194199	-0.501000	1.691402
214.000000	57.328098	-0.500000	1.681602
215.000000	57.639297	-0.498000	1.668800
216.000000	57.674099	-0.496000	1.656002
217.000000	57.868698	-0.492000	1.644501
218.000000	58.124298	-0.489000	1.635601
219.000000	58.144199	-0.486000	1.631599
220.000000	58.444099	-0.483000	1.631203
221.000000	58.652397	-0.481000	1.632202
222.000000	58.614498	-0.478000	1.632900
223.000000	58.935799	-0.478000	1.633301
224.000000	59.094997	-0.477000	1.634399
225.000000	59.231998	-0.477000	1.634502
226.000000	59.486099	-0.476000	1.632702
227.000000	59.518997	-0.476000	1.629601
228.000000	59.740597	-0.475000	1.626701
229.000000	60.063999	-0.474000	1.626301
230.000000	59.999897	-0.474000	1.628799
231.000000	60.251499	-0.473000	1.636700
232.000000	60.509800	-0.473000	1.650002
233.000000	60.528397	-0.474000	1.666401
234.000000	60.810497	-0.475000	1.684902
235.000000	60.889999	-0.476000	1.704300
236.000000	61.038300	-0.477000	1.724503
237.000000	61.353798	-0.477000	1.739799
238.000000	61.387398	-0.478000	1.747402
239.000000	61.520798	-0.478000	1.750603
240.000000	61.829399	-0.478000	1.750900
241.000000	61.850697	-0.477000	1.749401
242.000000	62.133099	-0.477000	1.744499
243.000000	62.288898	-0.477000	1.737202
244.000000	62.294899	-0.476000	1.731201
245.000000	62.643097	-0.477000	1.724800
246.000000	62.769100	-0.478000	1.718700
247.000000	62.859699	-0.478000	1.713600
248.000000	63.105698	-0.480000	1.708702
249.000000	63.164097	-0.481000	1.704903
250.000000	63.406799	-0.482000	1.701702
251.000000	63.656799	-0.484000	1.698799
252.000000	63.605698	-0.485000	1.695801
253.000000	63.911797	-0.486000	1.691700
254.000000	64.150696	-0.487000	1.687801
255.000000	64.201096	-0.488000	1.683903
256.000000	64.432701	-0.489000	1.680901
257.000000	64.552002	-0.489000	1.678699
258.000000	64.710098	-0.490000	1.677799
259.000000	65.017097	-0.490000	1.679501
260.000000	65.002701	-0.490000	1.683201
261.000000	65.167297	-0.489000	1.689899
262.000000	65.491798	-0.489000	1.700199
263.000000	65.515495	-0.489000	1.714199
264.000000	65.745796	-0.490000	1.730400
265.000000	65.939499	-0.492000	1.747700
266.000000	66.000801	-0.494000	1.767101
267.000000	66.346199	-0.496000	1.786499
268.000000	66.418999	-0.500000	1.803501
269.000000	66.496696	-0.502000	1.817501
270.000000	66.826500	-0.506000	1.829903
271.000000	66.850098	-0.509000	1.841602
272.000000	67.075294	-0.512000	1.845901
273.000000	67.290802	-0.515000	1.840900
274.000000	67.300499	-0.518000	1.829300
275.000000	67.605400	-0.521000	1.812099
276.000000	67.825195	-0.523000	1.791599
277.000000	67.837898	-0.525000	1.767799
278.000000	68.100700	-0.527000	1.744801
279.000000	68.256996	-0.529000	1.727402
280.000000	68.395897	-0.530000	1.715599
281.000000	68.677399	-0.531000	1.709400
282.000000	68.660797	-0.533000	1.706001
283.000000	68.888596	-0.537000	1.703602
284.000000	69.205200	-0.539000	1.701500
285.000000	69.185799	-0.543000	1.696301
286.000000	69.399200	-0.547000	1.688499
287.000000	69.626900	-0.551000	1.677902
288.000000	69.687897	-0.555000	1.666599
289.000000	70.016602	-0.559000	1.656101
290.000000	70.055199	-0.563000	1.646603
291.000000	70.198997	-0.566000	1.641003
292.000000	70.519798	-0.569000	1.638901
293.000000	70.558296	-0.570000	1.639603
294.000000	70.738495	-0.571000	1.642101
295.000000	70.982895	-0.570000	1.644901
296.000000	71.010696	-0.569000	1.649002
297.000000	71.304199	-0.566000	1.653500
298.000000	71.492096	-0.564000	1.659302
299.000000	71.480598	-0.563000	1.665501
300.000000	71.791496	-0.562000	1.669903
301.000000	71.923302	-0.562000	1.673302
302.000000	72.077499	-0.562000	1.674801
303.000000	72.313896	-0.563000	1.674702
304.000000	72.333496	-0.564000	1.672401
305.000000	72.562599	-0.567000	1.667900
306.000000	72.887001	-0.568000	1.663601
307.000000	72.819397	-0.571000	1.659302
308.000000	73.091095	-0.574000	1.655201
309.000000	73.312302	-0.576000	1.651402
310.000000	73.368996	-0.579000	1.647301
311.000000	73.651695	-0.581000	1.643902
312.000000	73.703400	-0.584000	1.640499
313.000000	73.896797	-0.586000	1.638000
314.000000	74.180298	-0.588000	1.636402
315.000000	74.231499	-0.590000	1.634899
316.000000	74.383896	-0.591000	1.634800
317.000000	74.650902	-0.592000	1.634800
318.000000	74.681396	-0.593000	1.635403
319.000000	74.953697	-0.594000	1.636101
320.000000	75.108894	-0.595000	1.636002
321.000000	75.148895	-0.596000	1.635902
322.000000	75.477898	-0.598000	1.634300
323.000000	75.589600	-0.601000	1.632202
324.000000	75.701797	-0.604000	1.629700
325.000000	75.974602	-0.608000	1.626801
326.000000	76.036400	-0.612000	1.624702
327.000000	76.272202	-0.616000	1.622700
328.000000	76.521896	-0.620000	1.622101
329.000000	76.446602	-0.623000	1.622601
330.000000	76.772896	-0.626000	1.624001
331.000000	76.966301	-0.628000	1.626801
332.000000	77.046097	-0.630000	1.629803
333.000000	77.287994	-0.631000	1.633400
334.000000	77.391800	-0.632000	1.636902
335.000000	77.577400	-0.632000	1.640202
336.000000	77.893196	-0.631000	1.644600
337.000000	77.876198	-0.631000	1.649403
338.000000	78.064400	-0.630000	1.655201
339.000000	78.360901	-0.630000	1.660603
340.000000	78.382195	-0.630000	1.665001
341.000000	78.623795	-0.631000	1.668102
342.000000	78.781601	-0.631000	1.668602
343.000000	78.848396	-0.631000	1.667400
344.000000	79.176300	-0.631000	1.664001
345.000000	79.280098	-0.630000	1.659599
346.000000	79.366898	-0.628000	1.655899
347.000000	79.692299	-0.626000	1.652802
348.000000	79.742195	-0.623000	1.651802
349.000000	79.975296	-0.618000	1.652000
350.000000	80.166298	-0.613000	1.653301
351.000000	80.169395	-0.606000	1.655800
352.000000	80.461700	-0.599000	1.658600
353.000000	80.674301	-0.589000	1.662399
354.000000	80.685295	-0.578000	1.665901
355.000000	80.942596	-0.567000	1.667999
356.000000	81.087997	-0.553000	1.668102
357.000000	81.250999	-0.539000	1.666203
358.000000	81.491402	-0.524000	1.663403
359.000000	81.517998	-0.509000	1.659000
360.000000	81.730995	-0.493000	1.653400
361.000000	82.035194	-0.476000	1.648003
362.000000	82.016602	-0.460000	1.643402
363.000000	82.238197	-0.442000	1.640102
364.000000	82.449600	-0.424000	1.637199
365.000000	82.495697	-0.407000	1.635101
366.000000	82.818695	-0.389000	1.634201
367.000000	82.867195	-0.370000	1.633400
368.000000	82.996498	-0.351000	1.633602
369.000000	83.314697	-0.332000	1.633701
370.000000	83.366295	-0.312000	1.634201
371.000000	83.538300	-0.292000	1.634800
372.000000	83.777199	-0.272000	1.634800
373.000000	83.806000	-0.251000	1.635002
374.000000	84.073601	-0.231000	1.634399
375.000000	84.272697	-0.211000	1.633400
376.000000	84.256996	-0.191000	1.632202
377.000000	84.567299	-0.172000	1.630199
378.000000	84.701698	-0.154000	1.628601
379.000000	84.854797	-0.136000	1.626301
380.000000	85.065201	-0.119000	1.624203
381.000000	85.114899	-0.103000	1.622402
382.000000	85.349297	-0.088000	1.620502
383.000000	85.644897	-0.073000	1.619301
384.000000	85.583397	-0.059000	1.618099
385.000000	85.854301	-0.047000	1.618099
386.000000	86.069397	-0.035000	1.619202
387.000000	86.114799	-0.025000	1.620800
388.000000	86.404800	-0.015000	1.623699
389.000000	86.466896	-0.006000	1.626499
390.000000	86.635101	0.001000	1.629501
391.000000	86.958199	0.009000	1.632000
392.000000	86.970001	0.016000	1.633202
393.000000	87.125298	0.022000	1.633801
394.000000	87.431694	0.029000	1.632500
395.000000	87.445801	0.034000	1.630302
396.000000	87.721001	0.039000	1.627300
397.000000	87.874100	0.043000	1.623901
398.000000	87.917297	0.046000	1.621799
399.000000	88.218498	0.048000	1.621101
400.000000	88.359795	0.049000	1.623501
401.000000	88.438499	0.049000	1.627899
402.000000	88.707596	0.047000	1.632999
