Time(sec)	Temp(C)	DSC(mW)
0.000000	30.456699	-0.268830
0.100098	30.455000	-0.268669
0.199951	30.455599	-0.268482
0.300049	30.455898	-0.268305
0.400146	30.453899	-0.268182
0.500000	30.451300	-0.268049
0.600098	30.449499	-0.267904
0.699951	30.448500	-0.267781
0.800049	30.447300	-0.267626
0.900146	30.445599	-0.267481
1.000000	30.444799	-0.267316
1.100098	30.443899	-0.267160
1.199951	30.442598	-0.267037
1.300049	30.440300	-0.266909
1.400146	30.439199	-0.266770
1.500000	30.438999	-0.266631
1.600098	30.437698	-0.266551
1.699951	30.435999	-0.266438
1.800049	30.433899	-0.266304
1.900146	30.432600	-0.266139
2.000000	30.431200	-0.266016
2.100098	30.428299	-0.265973
2.199951	30.427399	-0.265796
2.300049	30.427299	-0.265630
2.400146	30.426100	-0.265497
2.500000	30.424700	-0.265363
2.600098	30.422600	-0.265229
2.699951	30.420700	-0.265063
2.800049	30.419800	-0.264951
2.900146	30.418299	-0.264828
3.000000	30.416199	-0.264705
3.100098	30.415199	-0.264560
3.199951	30.413198	-0.264395
3.300049	30.411098	-0.264229
3.400146	30.411098	-0.264106
3.500000	30.410200	-0.263950
3.600098	30.408100	-0.263774
3.699951	30.406300	-0.263720
3.800049	30.404200	-0.263597
3.900146	30.402899	-0.263432
4.000000	30.402399	-0.263308
4.100098	30.400499	-0.263153
4.199951	30.398199	-0.263020
4.300049	30.397200	-0.262897
4.400146	30.397099	-0.262741
4.500000	30.395899	-0.262629
4.600098	30.393099	-0.262495
4.699951	30.391298	-0.262388
4.800049	30.390799	-0.262297
4.900146	30.388899	-0.262196
5.000000	30.386200	-0.262062
5.100098	30.385199	-0.261939
5.199951	30.385099	-0.261853
5.300049	30.384399	-0.261741
5.400146	30.382999	-0.261597
5.500000	30.380899	-0.261463
5.600098	30.380499	-0.261399
5.699951	30.379700	-0.261286
5.800049	30.376999	-0.261131
5.900146	30.375099	-0.260987
6.000000	30.375599	-0.260922
6.100098	30.376099	-0.260842
6.199951	30.373899	-0.260698
6.300049	30.370600	-0.260585
6.400146	30.368999	-0.260462
6.500000	30.369099	-0.260420
6.600098	30.368500	-0.260329
6.699951	30.366499	-0.260211
6.800049	30.366499	-0.260141
6.900146	30.368399	-0.260018
7.000000	30.368099	-0.259954
7.100098	30.365700	-0.259879
7.199951	30.364599	-0.259868
7.300049	30.364899	-0.259820
7.400146	30.364698	-0.259767
7.500000	30.364899	-0.259724
7.600098	30.365398	-0.259724
7.699951	30.365299	-0.259735
7.800049	30.366098	-0.259713
7.900146	30.366999	-0.259735
8.000000	30.366999	-0.259756
8.100098	30.368000	-0.259799
8.199951	30.369598	-0.259933
8.300049	30.371199	-0.260109
8.400146	30.371500	-0.260275
8.500000	30.373098	-0.260473
8.600098	30.375099	-0.260719
8.699951	30.375999	-0.260976
8.800049	30.378199	-0.261254
8.900146	30.379599	-0.261564
9.000000	30.381800	-0.261896
9.100098	30.383999	-0.262276
9.199951	30.387299	-0.262704
9.300049	30.391499	-0.263153
9.400146	30.394199	-0.263651
9.500000	30.396599	-0.264138
9.600098	30.400700	-0.264705
9.699951	30.405800	-0.265304
9.800049	30.409800	-0.265951
9.900146	30.413000	-0.266684
10.000000	30.416500	-0.267433
10.100098	30.421999	-0.268268
10.199951	30.426199	-0.269156
10.300049	30.430599	-0.270012
10.400146	30.436499	-0.270943
10.500000	30.441000	-0.271954
10.600098	30.446699	-0.272954
10.699951	30.453400	-0.274030
10.800049	30.459000	-0.275266
10.900146	30.465199	-0.276518
11.000000	30.471600	-0.277850
11.100098	30.476500	-0.279193
11.199951	30.483000	-0.280610
11.300049	30.490200	-0.282033
11.400146	30.497398	-0.283579
11.500000	30.504099	-0.285142
11.600098	30.510300	-0.286731
11.699951	30.519600	-0.288453
11.800049	30.528599	-0.290251
11.900146	30.535398	-0.292113
12.000000	30.543299	-0.294055
12.100098	30.551399	-0.296023
12.199951	30.560499	-0.298051
12.300049	30.569399	-0.300186
12.400146	30.578199	-0.302406
12.500000	30.587799	-0.304648
12.600098	30.597198	-0.306937
12.699951	30.607199	-0.309265
12.800049	30.617800	-0.311667
12.900146	30.627399	-0.314096
13.000000	30.637499	-0.316583
13.100098	30.648100	-0.319167
13.199951	30.658400	-0.321719
13.300049	30.668299	-0.324309
13.400146	30.678699	-0.327005
13.500000	30.689899	-0.329712
13.600098	30.701300	-0.332521
13.699951	30.712799	-0.335330
13.800049	30.724199	-0.338208
13.900146	30.734999	-0.341150
14.000000	30.746199	-0.344146
14.100098	30.758200	-0.347169
14.199951	30.769899	-0.350186
14.300049	30.781500	-0.353230
14.400146	30.792900	-0.356333
14.500000	30.805199	-0.359501
14.600098	30.818298	-0.362662
14.699951	30.831400	-0.365851
14.800049	30.843100	-0.368959
14.900146	30.853498	-0.372148
15.000000	30.865099	-0.375374
15.100098	30.878599	-0.378595
15.199951	30.891699	-0.381815
15.300049	30.904099	-0.385079
15.400146	30.917500	-0.388444
15.500000	30.931900	-0.391755
15.600098	30.946400	-0.395131
15.699951	30.959900	-0.398528
15.800049	30.972399	-0.401883
15.900146	30.985800	-0.405168
16.000000	30.998999	-0.408474
16.100098	31.013399	-0.411818
16.199951	31.027699	-0.415161
16.300049	31.041300	-0.418505
16.400146	31.053598	-0.421870
16.500000	31.067400	-0.425209
16.600098	31.083199	-0.428552
16.699951	31.096899	-0.431896
16.800049	31.111099	-0.435160
16.900146	31.125799	-0.438460
17.000000	31.140598	-0.441724
17.100098	31.156399	-0.444966
17.199951	31.170898	-0.448197
17.300049	31.184500	-0.451375
17.400146	31.198999	-0.454564
17.500000	31.215000	-0.457736
17.600098	31.229898	-0.460914
17.699951	31.244299	-0.464092
17.800049	31.259600	-0.467249
17.900146	31.275000	-0.470357
18.000000	31.290400	-0.473476
18.100098	31.304899	-0.476568
18.199951	31.319300	-0.479623
18.300049	31.334900	-0.482630
18.400146	31.350599	-0.485620
18.500000	31.366499	-0.488595
18.600098	31.383099	-0.491430
18.699951	31.399399	-0.494282
18.800049	31.413599	-0.497064
18.900146	31.427898	-0.499883
19.000000	31.443699	-0.502628
19.100098	31.458300	-0.505362
19.199951	31.473499	-0.508069
19.300049	31.489799	-0.510781
19.400146	31.505400	-0.513467
19.500000	31.521000	-0.516083
19.600098	31.536798	-0.518704
19.699951	31.552299	-0.521278
19.800049	31.568199	-0.523878
19.900146	31.585299	-0.526446
20.000000	31.601799	-0.529003
20.100098	31.617300	-0.531491
20.199951	31.632399	-0.533946
20.300049	31.647799	-0.536381
20.400146	31.664700	-0.538729
20.500000	31.681599	-0.541051
20.600098	31.697699	-0.543320
20.699951	31.713598	-0.545561
20.800049	31.731499	-0.547798
20.900146	31.747000	-0.550055
21.000000	31.761599	-0.552233
21.100098	31.779400	-0.554378
21.199951	31.796499	-0.556502
21.300049	31.813099	-0.558567
21.400146	31.829498	-0.560600
21.500000	31.845200	-0.562601
21.600098	31.860899	-0.564570
21.699951	31.877600	-0.566517
21.800049	31.893599	-0.568438
21.900146	31.910299	-0.570331
22.000000	31.927000	-0.572177
22.100098	31.941500	-0.573980
22.199951	31.957100	-0.575735
22.300049	31.975100	-0.577516
22.400146	31.992498	-0.579250
22.500000	32.009098	-0.580940
22.600098	32.026798	-0.582610
22.699951	32.042500	-0.584268
22.800049	32.056698	-0.585878
22.900146	32.072701	-0.587392
23.000000	32.089699	-0.588939
23.100098	32.106197	-0.590469
23.199951	32.122898	-0.592041
23.300049	32.139900	-0.593518
23.400146	32.156200	-0.594952
23.500000	32.174297	-0.596359
23.600098	32.191700	-0.597793
23.699951	32.207397	-0.599136
23.800049	32.223999	-0.600505
23.900146	32.242001	-0.601821
24.000000	32.259499	-0.603148
24.100098	32.275497	-0.604459
24.199951	32.291599	-0.605705
24.300049	32.308899	-0.606930
24.400146	32.325199	-0.608102
24.500000	32.341599	-0.609311
24.600098	32.358200	-0.610483
24.699951	32.374001	-0.611617
24.800049	32.390499	-0.612719
24.900146	32.407398	-0.613757
25.000000	32.424698	-0.614757
25.100098	32.442501	-0.615763
25.199951	32.460598	-0.616806
25.300049	32.477100	-0.617812
25.400146	32.492500	-0.618770
25.500000	32.508999	-0.619717
25.600098	32.526897	-0.620616
25.699951	32.543598	-0.621498
25.800049	32.559998	-0.622344
25.900146	32.576099	-0.623226
26.000000	32.591801	-0.624093
26.100098	32.609200	-0.624933
26.199951	32.627300	-0.625768
26.300049	32.644699	-0.626592
26.400146	32.660999	-0.627373
26.500000	32.677700	-0.628175
26.600098	32.694698	-0.628956
26.699951	32.711399	-0.629695
26.800049	32.728699	-0.630417
26.900146	32.745800	-0.631134
27.000000	32.762398	-0.631824
27.100098	32.779900	-0.632551
27.199951	32.796799	-0.633242
27.300049	32.812798	-0.633846
27.400146	32.828701	-0.634472
27.500000	32.845898	-0.635093
27.600098	32.864201	-0.635697
27.699951	32.881599	-0.636270
27.800049	32.898201	-0.636805
27.900146	32.913399	-0.637350
28.000000	32.929199	-0.637923
28.100098	32.947399	-0.638393
28.199951	32.966000	-0.638806
28.300049	32.983898	-0.639308
28.400146	33.000298	-0.639801
28.500000	33.016998	-0.640293
28.600098	33.035500	-0.640764
28.699951	33.053101	-0.641234
28.800049	33.069199	-0.641678
28.900146	33.085899	-0.642096
29.000000	33.102798	-0.642497
29.100098	33.118500	-0.642914
29.199951	33.135998	-0.643337
29.300049	33.154598	-0.643733
29.400146	33.171497	-0.644102
29.500000	33.188599	-0.644439
29.600098	33.205799	-0.644739
29.699951	33.222099	-0.645076
29.800049	33.238800	-0.645423
29.900146	33.254299	-0.645782
30.000000	33.270199	-0.646130
30.100098	33.289299	-0.646467
30.199951	33.306900	-0.646702
30.300049	33.323299	-0.646975
30.400146	33.339500	-0.647274
30.500000	33.356197	-0.647526
30.600098	33.373501	-0.647804
30.699951	33.391098	-0.648088
30.800049	33.409100	-0.648344
30.900146	33.426800	-0.648537
31.000000	33.443699	-0.648751
31.100098	33.461098	-0.648986
31.199951	33.478100	-0.649206
31.300049	33.495300	-0.649388
31.400146	33.512299	-0.649554
31.500000	33.528900	-0.649703
31.600098	33.546299	-0.649842
31.699951	33.563499	-0.649955
31.800049	33.579899	-0.650094
31.900146	33.596298	-0.650228
32.000000	33.613098	-0.650377
32.100098	33.630699	-0.650468
32.199951	33.648499	-0.650581
32.300049	33.665798	-0.650741
32.400146	33.682598	-0.650912
32.500000	33.699600	-0.651025
32.600098	33.717598	-0.651164
32.699951	33.735100	-0.651244
32.800049	33.751900	-0.651330
32.900146	33.767799	-0.651431
