Time(sec)	Temp(C)	DSC(mW)
0.000000	30.449200	-0.420260
0.100098	30.447498	-0.420249
0.200195	30.445000	-0.420271
0.299805	30.443998	-0.420303
0.399902	30.442999	-0.420415
0.500000	30.442099	-0.420447
0.600098	30.442400	-0.420479
0.700195	30.441099	-0.420533
0.799805	30.439199	-0.420522
0.899902	30.439098	-0.420522
1.000000	30.437500	-0.420554
1.100098	30.435299	-0.420554
1.200195	30.434500	-0.420624
1.299805	30.433399	-0.420677
1.399902	30.431999	-0.420699
1.500000	30.431200	-0.420736
1.600098	30.429800	-0.420811
1.700195	30.428598	-0.420886
1.799805	30.427399	-0.420923
1.899902	30.426899	-0.420955
2.000000	30.426800	-0.421020
2.100098	30.425600	-0.421041
2.200195	30.424398	-0.421089
2.299805	30.422499	-0.421143
2.399902	30.421200	-0.421223
2.500000	30.421000	-0.421244
2.600098	30.419800	-0.421298
2.700195	30.418098	-0.421287
2.799805	30.416698	-0.421330
2.899902	30.415899	-0.421330
3.000000	30.414900	-0.421330
3.100098	30.413399	-0.421309
3.200195	30.412699	-0.421330
3.299805	30.410000	-0.421416
3.399902	30.407200	-0.421549
3.500000	30.405899	-0.421704
3.600098	30.404099	-0.421849
3.700195	30.401499	-0.422036
3.799805	30.400000	-0.422325
3.899902	30.398899	-0.422625
4.000000	30.395800	-0.423005
4.100098	30.393499	-0.423513
4.200195	30.391899	-0.424026
4.299805	30.389700	-0.424556
4.399902	30.387600	-0.425134
4.500000	30.385599	-0.425786
4.600098	30.383499	-0.426552
4.700195	30.382399	-0.427338
4.799805	30.381498	-0.428194
4.899902	30.379000	-0.429146
5.000000	30.376400	-0.430189
5.100098	30.375000	-0.431334
5.200195	30.373400	-0.432501
5.299805	30.371799	-0.433710
5.399902	30.369699	-0.434940
5.500000	30.366600	-0.436326
5.600098	30.364199	-0.437733
5.700195	30.363499	-0.439231
5.799805	30.362799	-0.440793
5.899902	30.361198	-0.442403
6.000000	30.359798	-0.444094
6.100098	30.358500	-0.445843
6.200195	30.357199	-0.447566
6.299805	30.355900	-0.449326
6.399902	30.353699	-0.451172
6.500000	30.352098	-0.453087
6.600098	30.351299	-0.455051
6.700195	30.351000	-0.457036
6.799805	30.350500	-0.459111
6.899902	30.348799	-0.461257
7.000000	30.346498	-0.463450
7.100098	30.345999	-0.465649
7.200195	30.344900	-0.467891
7.299805	30.342999	-0.470218
7.399902	30.343800	-0.472593
7.500000	30.345098	-0.475017
7.600098	30.345098	-0.477435
7.700195	30.344500	-0.479917
7.799805	30.343100	-0.482405
7.899902	30.341999	-0.484941
8.000000	30.342100	-0.487562
8.100098	30.342999	-0.490189
8.200195	30.344398	-0.492800
8.299805	30.346498	-0.495416
8.399902	30.347898	-0.498038
8.500000	30.348099	-0.500622
8.600098	30.348900	-0.503174
8.700195	30.350399	-0.505741
8.799805	30.352098	-0.508315
8.899902	30.354599	-0.510899
9.000000	30.356298	-0.513376
9.100098	30.358200	-0.515751
9.200195	30.360300	-0.518137
9.299805	30.362598	-0.520523
9.399902	30.365599	-0.522851
9.500000	30.369099	-0.525103
9.600098	30.372599	-0.527312
9.700195	30.375599	-0.529474
9.799805	30.378899	-0.531609
9.899902	30.382599	-0.533663
10.000000	30.387499	-0.535637
10.100098	30.392199	-0.537526
10.200195	30.396599	-0.539414
10.299805	30.400599	-0.541244
10.399902	30.405399	-0.543009
10.500000	30.410900	-0.544732
10.600098	30.414900	-0.546374
10.700195	30.419800	-0.547904
10.799805	30.425900	-0.549392
10.899902	30.431700	-0.550836
11.000000	30.438999	-0.552168
11.100098	30.445900	-0.553490
11.200195	30.451899	-0.554801
11.299805	30.458000	-0.556058
11.399902	30.464899	-0.557256
11.500000	30.473598	-0.558310
11.600098	30.480900	-0.559353
11.700195	30.487400	-0.560402
11.799805	30.494598	-0.561365
11.899902	30.502600	-0.562242
12.000000	30.511599	-0.563045
12.100098	30.519600	-0.563831
12.200195	30.527500	-0.564591
12.299805	30.536900	-0.565211
12.399902	30.546700	-0.565757
12.500000	30.553799	-0.566292
12.600098	30.562099	-0.566747
12.700195	30.573299	-0.567196
